regime,Document,MEF,DEF,HSW,EDU,GEF,AFF,Total
LEE,Total,2999,1291,3574,4285,1446,2977,16572
PARK,Total,4363,1490,3611,2551,1352,3959,17326
MOON,Total,3286,2011,3655,2041,1444,4487,16924
LEE,minister,831,239,2119,3463,1234,1028,8914
PARK,minister,1078,359,2075,1571,1261,2709,9053
MOON,minister,879,831,2704,1865,1349,2949,10577
LEE,vice minister,458,84,61,128,70,182,983
PARK,vice minister,876,171,93,126,21,159,1446
MOON,vice minister,1000,333,213,24,50,229,1849
LEE,policy commitment,19,8,18,29,7,11,92
PARK,policy commitment,9,5,14,11,6,5,50
MOON,policy commitment,5,5,6,6,3,3,28
