group,type,coef,se,ci_low,ci_high,p_value
AFF,minister,0.1043223677745512,0.0011534981282209913,0.10206155298700369,0.10658318256209871,0.0
AFF,vice minister,0.11424082595111572,0.003776748937320937,0.10683853405531676,0.12164311784691467,5.466927883028061e-201
DEF,minister,0.2075706841372377,0.0035579349822761983,0.2005972597126412,0.2145441085618342,0.0
DEF,vice minister,0.20334430852450341,0.0056684932951466226,0.19223426581940925,0.21445435122959758,8.135244568891613e-282
EDU,minister,0.1141852822324034,0.0012186161654767136,0.11179683843709073,0.11657372602771607,0.0
EDU,vice minister,0.08218391673080791,0.004838671676612272,0.07270029451163382,0.091667538949982,1.0639849307331053e-64
GEF,minister,0.21662717974217113,0.0023220743979384525,0.21207599755278925,0.22117836193155302,0.0
GEF,vice minister,0.3237274955142395,0.014357244062474387,0.29558781423453817,0.35186717679394086,1.4041365411992377e-112
HSW,minister,0.20067253628182322,0.0015659909966753963,0.19760325032822545,0.20374182223542098,0.0
HSW,vice minister,0.2091299553873774,0.006157102570738627,0.1970622560996107,0.22119765467514407,7.167298548780856e-253
MEF,minister,0.10516434961737353,0.001989661911009795,0.1012646839303832,0.10906401530436387,0.0
MEF,vice minister,0.1273990711163558,0.0022419478770787362,0.12300493402206543,0.13179320821064613,0.0
